Date,Close,High,Low,Open,Volume
2021-08-09,16258.25,16320.75,16179.05,16281.35,240500
2021-08-10,16280.1,16359.25,16202.25,16274.8,288000
2021-08-11,16282.25,16338.75,16162.55,16327.3,277900
2021-08-12,16364.4,16375.5,16286.9,16303.65,280200
2021-08-13,16529.1,16543.6,16376.3,16385.7,321900
2021-08-16,16563.05,16589.4,16480.75,16518.4,254000
2021-08-17,16614.6,16628.55,16495.4,16545.25,297400
2021-08-18,16568.85,16701.85,16535.85,16691.95,251800
2021-08-20,16450.5,16509.55,16376.05,16382.5,350800
2021-08-23,16496.45,16592.5,16395.7,16592.25,275600
2021-08-24,16624.6,16647.1,16495.3,16561.4,275400
2021-08-25,16634.65,16712.45,16617.5,16654.0,265900
2021-08-26,16636.9,16683.7,16603.4,16627.95,253500
2021-08-27,16705.2,16722.05,16565.6,16642.55,217400
2021-08-30,16931.05,16951.5,16764.85,16775.85,283500
2021-08-31,17132.2,17153.5,16915.85,16947.5,464400
2021-09-01,17076.25,17225.75,17055.05,17185.6,301900
2021-09-02,17234.15,17245.5,17059.7,17095.4,242400
2021-09-03,17323.6,17340.1,17212.2,17262.45,261400
2021-09-06,17377.8,17429.55,17345.55,17399.35,228000
2021-09-07,17362.1,17436.5,17287.0,17401.55,243400
2021-09-08,17353.5,17383.4,17254.2,17375.75,252700
2021-09-09,17369.25,17379.65,17302.7,17312.85,241500
2021-09-13,17355.3,17378.35,17269.15,17363.55,241100
2021-09-14,17380.0,17438.55,17367.05,17420.35,230400
2021-09-15,17519.45,17532.7,17386.9,17387.65,388200
2021-09-16,17629.5,17644.6,17510.45,17539.2,503300
2021-09-17,17585.15,17792.95,17537.65,17709.65,508300
2021-09-20,17396.9,17622.75,17361.8,17443.85,339100
2021-09-21,17562.0,17578.35,17326.1,17450.5,363600
2021-09-22,17546.65,17610.45,17524.0,17580.9,295200
2021-09-23,17822.95,17843.9,17646.55,17670.85,320500
2021-09-24,17853.2,17947.65,17819.4,17897.45,360100
2021-09-27,17855.1,17943.5,17802.9,17932.2,295700
2021-09-28,17748.6,17912.85,17576.1,17906.45,398000
2021-09-29,17711.3,17781.75,17608.15,17657.95,562200
2021-09-30,17618.15,17742.15,17585.35,17718.9,378600
2021-10-01,17532.05,17557.15,17452.9,17531.9,305800
2021-10-04,17691.25,17750.9,17581.35,17615.55,295800
